City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
New Norfolk,AU,1616230928,-42.7826,147.0587,63.0,58,0,2.93
Busselton,AU,1616230928,-33.65,115.3333,93.0,24,10,1.99
Noyabrsk,RU,1616230928,63.1994,75.4507,9.57,93,100,23.47
Port Elizabeth,ZA,1616230928,-33.918,25.5701,68.0,94,90,3.44
Punta Arenas,CL,1616230928,-53.15,-70.9167,39.2,81,0,13.8
Morondava,MG,1616230929,-20.2833,44.2833,85.24,71,18,6.51
Ponta do Sol,PT,1616230929,32.6667,-17.1,61.0,57,3,1.99
Cabo San Lucas,MX,1616230929,22.8909,-109.9124,61.0,46,0,4.68
Yar-Sale,RU,1616230929,66.8333,70.8333,-12.26,89,23,12.73
Cidreira,BR,1616230929,-30.1811,-50.2056,72.37,80,38,17.45
Vaini,TO,1616230930,-21.2,-175.2,78.8,94,40,4.61
Tuktoyaktuk,CA,1616230930,69.4541,-133.0374,-15.59,99,78,8.72
Thanh Hoa,VN,1616230711,19.8,105.7667,78.8,79,74,9.8
Tadine,NC,1616230930,-21.55,167.8833,75.63,81,100,17.43
Saint Paul Harbor,US,1616230931,57.79,-152.4072,28.4,86,90,5.75
Klaksvík,FO,1616230931,62.2266,-6.589,42.8,100,75,14.97
Mengcheng,CN,1616230931,33.2579,116.5655,53.46,73,100,7.27
Bredasdorp,ZA,1616230932,-34.5322,20.0403,68.0,77,86,10.36
Peniche,PT,1616230932,39.3558,-9.3811,55.0,39,0,18.01
Hobart,AU,1616230724,-42.8794,147.3294,63.0,63,20,12.66
George Town,MY,1616230932,5.4112,100.3354,91.4,37,20,11.5
Chumikan,RU,1616230932,54.7183,135.315,22.68,82,4,7.63
Tilichiki,RU,1616230933,60.4667,166.1,-13.97,88,9,8.37
Rikitea,PF,1616230933,-23.1203,-134.9692,79.68,78,84,8.43
Beloha,MG,1616230933,-25.1667,45.05,97.05,30,0,1.9
Avila,ES,1616230933,40.5833,-5.0,34.0,71,80,13.0
Dudinka,RU,1616230933,69.4058,86.1778,-22.52,85,0,7.23
Lebu,CL,1616230933,-37.6167,-73.65,55.69,86,100,13.69
Atuona,PF,1616230934,-9.8,-139.0333,79.93,72,86,10.83
Ushuaia,AR,1616230934,-54.8,-68.3,39.2,87,90,23.02
Kapaa,US,1616230934,22.0752,-159.319,71.6,73,90,19.57
Zhireken,RU,1616230934,52.8249,117.3076,24.08,70,99,4.23
Montepuez,MZ,1616230935,-13.1256,38.9997,79.65,76,81,3.67
Chokurdakh,RU,1616230935,70.6333,147.9167,-10.82,97,99,4.63
Victor Harbor,AU,1616230935,-35.5667,138.6167,73.0,63,20,10.54
Amahai,ID,1616230935,-3.3333,128.9167,83.35,77,90,0.89
Saint-Philippe,RE,1616230935,-21.3585,55.7679,86.0,62,0,26.46
Upernavik,GL,1616230936,72.7868,-56.1549,7.36,85,100,12.21
Hilo,US,1616230937,19.7297,-155.09,66.2,88,90,6.91
Tura,IN,1616230937,25.5198,90.2201,94.37,14,0,7.94
